id,title,category,price,discountPercentage,rating,stock,brand,sku,weight,warrantyInformation,shippingInformation,availabilityStatus,returnPolicy,minimumOrderQuantity,subcategory,width,height,depth,comment
1,Essence Mascara Lash Princess,beauty,9.99,10.48,3,99,Essence,BEA-ESS-ESS-001,4,1 week warranty,Ships in 3-5 business days,In Stock,No return policy,48,mascara,15.14,13.08,22.99,Would not recommend!
2,Eyeshadow Palette with Mirror,beauty,19.99,18.19,5,34,Glamour Beauty,BEA-GLA-EYE-002,9,1 year warranty,Ships in 2 weeks,In Stock,7 days return policy,20,eyeshadow,9.26,22.47,27.67,Great product!
3,Powder Canister,beauty,14.99,9.84,4,89,Velvet Touch,BEA-VEL-POW-003,8,3 months warranty,Ships in 1-2 business days,In Stock,No return policy,22,face powder,29.27,27.93,20.59,Would buy again!
4,Red Lipstick,beauty,12.99,12.16,4,91,Chic Cosmetics,BEA-CHI-LIP-004,1,3 year warranty,Ships in 1 week,In Stock,7 days return policy,40,lipstick,18.11,28.38,22.17,Great product!
5,Red Nail Polish,beauty,8.99,11.44,2,79,Nail Couture,BEA-NAI-NAI-005,8,1 month warranty,Ships overnight,In Stock,No return policy,22,nail polish,21.63,16.48,29.84,Poor quality!
6,Calvin Klein CK One,fragrances,49.99,1.89,2,29,Calvin Klein,FRA-CAL-CAL-006,7,1 week warranty,Ships overnight,In Stock,90 days return policy,9,perfumes,29.36,27.76,20.72,Very disappointed!
7,Chanel Coco Noir Eau De,fragrances,129.99,16.51,4,58,Chanel,FRA-CHA-CHA-007,7,3 year warranty,Ships overnight,In Stock,No return policy,1,perfumes,24.5,25.7,25.98,Highly impressed!
8,Dior J'adore,fragrances,89.99,14.72,5,98,Dior,FRA-DIO-DIO-008,4,1 week warranty,Ships in 2 weeks,In Stock,7 days return policy,10,perfumes,27.67,28.28,11.83,Great value for money!
9,Dolce Shine Eau de,fragrances,69.99,0.62,4,4,Dolce & Gabbana,FRA-DOL-DOL-009,6,3 year warranty,Ships in 1 month,Low Stock,7 days return policy,2,perfumes,27.28,29.88,18.3,Would buy again!
10,Gucci Bloom Eau de,fragrances,79.99,14.39,1,91,Gucci,FRA-GUC-GUC-010,7,6 months warranty,Ships overnight,In Stock,No return policy,2,perfumes,20.92,21.68,11.2,Very dissatisfied!
11,Annibale Colombo Bed,furniture,1899.99,8.57,2,88,Annibale Colombo,FUR-ANN-ANN-011,10,1 year warranty,Ships in 1 month,In Stock,No return policy,1,beds,28.16,25.36,17.28,Would not recommend!
12,Annibale Colombo Sofa,furniture,2499.99,14.4,3,60,Annibale Colombo,FUR-ANN-ANN-012,6,Lifetime warranty,Ships in 1 week,In Stock,7 days return policy,1,sofas,12.75,20.55,19.06,Very unhappy with my purchase!
13,Bedside Table African Cherry,furniture,299.99,19.09,4,64,Furniture Co.,FUR-FUR-BED-013,2,5 year warranty,Ships overnight,In Stock,7 days return policy,3,bedside tables,13.47,24.99,27.35,Excellent quality!
14,Knoll Saarinen Executive Conference Chair,furniture,499.99,2.01,2,26,Knoll,FUR-KNO-KNO-014,10,2 year warranty,Ships overnight,In Stock,60 days return policy,5,office chairs,13.81,7.5,5.62,Waste of money!
15,Wooden Bathroom Sink With Mirror,furniture,799.99,8.8,4,7,Bath Trends,FUR-BAT-WOO-015,10,3 year warranty,Ships in 3-5 business days,Low Stock,60 days return policy,2,bathroom,7.98,8.88,28.46,Fast shipping!
16,Apple,groceries,1.99,12.62,5,8,Unknown,GRO-BRD-APP-016,9,3 year warranty,Ships in 2 weeks,In Stock,90 days return policy,7,None,13.66,11.01,9.73,Very satisfied!
17,Beef Steak,groceries,12.99,9.61,3,86,Unknown,GRO-BRD-BEE-017,10,3 year warranty,Ships overnight,In Stock,60 days return policy,43,None,18.9,5.77,18.57,Would not recommend!
18,Cat Food,groceries,8.99,9.58,3,46,Unknown,GRO-BRD-FOO-018,10,1 year warranty,Ships overnight,In Stock,No return policy,18,cat food,18.08,9.26,21.86,Would not recommend!
19,Chicken Meat,groceries,9.99,13.7,5,97,Unknown,GRO-BRD-CHI-019,1,1 year warranty,Ships in 1 month,In Stock,7 days return policy,22,None,11.03,22.11,16.01,Great product!
20,Cooking Oil,groceries,4.99,9.33,5,10,Unknown,GRO-BRD-COO-020,5,Lifetime warranty,Ships in 1-2 business days,In Stock,30 days return policy,46,None,19.95,27.54,24.86,Very happy with my purchase!
21,Cucumber,groceries,1.49,0.16,4,84,Unknown,GRO-BRD-CUC-021,4,2 year warranty,Ships in 1-2 business days,In Stock,7 days return policy,2,None,12.8,28.38,21.34,Great product!
22,Dog Food,groceries,10.99,10.27,5,71,Unknown,GRO-BRD-FOO-022,10,No warranty,Ships in 1-2 business days,In Stock,60 days return policy,43,dog food,16.93,27.15,9.29,Excellent quality!
23,Eggs,groceries,2.99,11.05,3,9,Unknown,GRO-BRD-EGG-023,2,1 week warranty,Ships in 1 week,In Stock,No return policy,32,None,11.42,7.44,16.95,Disappointing product!
24,Fish Steak,groceries,14.99,4.23,2,74,Unknown,GRO-BRD-FIS-024,6,1 month warranty,Ships in 3-5 business days,In Stock,60 days return policy,50,None,14.95,26.31,11.27,Would not buy again!
25,Green Bell Pepper,groceries,1.29,0.16,4,33,Unknown,GRO-BRD-GRE-025,2,1 month warranty,Ships in 1 week,In Stock,30 days return policy,12,None,15.33,26.65,14.44,Highly recommended!
26,Green Chili Pepper,groceries,0.99,1.0,4,3,Unknown,GRO-BRD-GRE-026,7,2 year warranty,Ships in 1 week,Low Stock,30 days return policy,39,None,15.38,18.12,19.92,Great product!
27,Honey Jar,groceries,6.99,14.4,1,34,Unknown,GRO-BRD-HON-027,2,1 month warranty,Ships in 1-2 business days,In Stock,90 days return policy,47,None,9.28,21.72,17.74,Very disappointed!
28,Ice Cream,groceries,5.49,8.69,5,27,Unknown,GRO-BRD-CRE-028,1,1 month warranty,Ships in 2 weeks,In Stock,No return policy,42,None,14.83,15.07,24.2,Very pleased!
29,Juice,groceries,3.99,12.06,5,50,Unknown,GRO-BRD-JUI-029,1,6 months warranty,Ships in 1 week,In Stock,No return policy,25,None,18.56,21.46,28.02,Excellent quality!
30,Kiwi,groceries,2.49,15.22,4,99,Unknown,GRO-BRD-KIW-030,5,6 months warranty,Ships overnight,In Stock,7 days return policy,30,None,19.4,18.67,17.13,Highly recommended!
31,Lemon,groceries,0.79,9.7,5,31,Unknown,GRO-BRD-LEM-031,3,No warranty,Ships in 1 month,In Stock,7 days return policy,29,None,23.77,9.22,12.05,Awesome product!
32,Milk,groceries,3.49,13.74,4,27,Unknown,GRO-BRD-MIL-032,5,3 year warranty,Ships in 2 weeks,In Stock,7 days return policy,5,None,12.92,15.76,11.29,Very satisfied!
33,Mulberry,groceries,4.99,12.87,5,99,Unknown,GRO-BRD-MUL-033,5,2 year warranty,Ships in 1 week,In Stock,No return policy,43,None,12.8,18.54,6.31,Fast shipping!
34,Nescafe Coffee,groceries,7.99,1.59,5,57,Unknown,GRO-BRD-NES-034,6,1 year warranty,Ships in 1-2 business days,In Stock,30 days return policy,8,coffee,20.54,29.49,29.2,Very pleased!
35,Potatoes,groceries,2.29,5.38,5,13,Unknown,GRO-BRD-POT-035,9,3 year warranty,Ships in 3-5 business days,In Stock,90 days return policy,9,None,22.65,9.83,21.75,Highly impressed!
36,Protein Powder,groceries,19.99,7.59,3,80,Unknown,GRO-BRD-PRO-036,9,1 week warranty,Ships in 1 month,In Stock,No return policy,6,None,9.01,12.53,22.35,Very unhappy with my purchase!
37,Red Onions,groceries,1.99,9.9,4,82,Unknown,GRO-BRD-ONI-037,9,1 month warranty,Ships in 3-5 business days,In Stock,7 days return policy,8,None,16.01,24.96,12.74,Fast shipping!
38,Rice,groceries,5.99,9.29,5,59,Unknown,GRO-BRD-RIC-038,5,6 months warranty,Ships overnight,In Stock,No return policy,20,None,17.21,9.88,17.16,Would buy again!
39,Soft Drinks,groceries,1.99,17.48,2,53,Unknown,GRO-BRD-SOF-039,9,6 months warranty,Ships in 2 weeks,In Stock,7 days return policy,10,None,19.75,6.79,9.33,Would not recommend!
40,Strawberry,groceries,3.99,1.12,3,46,Unknown,GRO-BRD-STR-040,1,1 week warranty,Ships in 1-2 business days,In Stock,No return policy,12,None,28.18,21.25,28.54,Would not buy again!
41,Tissue Paper Box,groceries,2.49,13.28,1,86,Unknown,GRO-BRD-TIS-041,1,No warranty,Ships in 1-2 business days,In Stock,90 days return policy,44,None,18.75,17.58,12.43,Not as described!
42,Water,groceries,0.99,14.92,5,53,Unknown,GRO-BRD-WAT-042,4,3 months warranty,Ships in 1 month,In Stock,7 days return policy,28,None,18.43,7.4,17.79,Highly impressed!
43,Decoration Swing,home-decoration,59.99,10.41,1,47,Unknown,HOM-BRD-DEC-043,4,1 week warranty,Ships in 1 month,In Stock,90 days return policy,8,swing,23.84,15.19,26.05,Would not buy again!
44,Family Tree Photo Frame,home-decoration,29.99,14.87,4,77,Unknown,HOM-BRD-FAM-044,1,1 month warranty,Ships in 2 weeks,In Stock,No return policy,15,photo frame,17.27,14.81,29.11,Highly impressed!
45,House Showpiece Plant,home-decoration,39.99,7.46,5,28,Unknown,HOM-BRD-HOU-045,8,1 year warranty,Ships in 1 week,In Stock,No return policy,3,artificial plants,8.55,14.62,17.25,Very happy with my purchase!
46,Plant Pot,home-decoration,14.99,6.84,4,59,Unknown,HOM-BRD-PLA-046,9,Lifetime warranty,Ships in 3-5 business days,In Stock,30 days return policy,31,plant accessories,9.83,20.28,13.49,Fast shipping!
47,Table Lamp,home-decoration,49.99,7.09,5,9,Unknown,HOM-BRD-TAB-047,4,3 months warranty,Ships in 1-2 business days,In Stock,90 days return policy,2,lighting,8.98,13.41,5.65,Excellent quality!
48,Bamboo Spatula,kitchen-accessories,7.99,2.84,5,37,Unknown,KIT-BRD-BAM-048,3,1 month warranty,Ships overnight,In Stock,60 days return policy,29,utensils,21.32,23.03,25.94,Awesome product!
49,Black Aluminium Cup,kitchen-accessories,5.99,15.65,3,75,Unknown,KIT-BRD-BLA-049,7,1 year warranty,Ships overnight,In Stock,30 days return policy,48,cups,5.88,5.11,10.03,Very disappointed!
50,Black Whisk,kitchen-accessories,9.99,10.24,3,73,Unknown,KIT-BRD-BLA-050,1,3 months warranty,Ships in 1 month,In Stock,30 days return policy,40,utensils,13.03,5.99,20.64,Not worth the price!
51,Boxed Blender,kitchen-accessories,39.99,7.26,5,9,Unknown,KIT-BRD-BOX-051,1,5 year warranty,Ships in 1-2 business days,In Stock,7 days return policy,4,blenders,9.05,19.45,17.59,Very pleased!
52,Carbon Steel Wok,kitchen-accessories,29.99,6.53,4,40,Unknown,KIT-BRD-CAR-052,2,2 year warranty,Ships in 1-2 business days,In Stock,7 days return policy,9,woks,27.69,7.54,10.11,Excellent quality!
53,Chopping Board,kitchen-accessories,12.99,8.03,5,14,Unknown,KIT-BRD-CHO-053,2,3 months warranty,Ships in 2 weeks,In Stock,No return policy,5,cutting boards,15.6,6.93,8.51,Great value for money!
54,Citrus Squeezer Yellow,kitchen-accessories,8.99,12.1,4,22,Unknown,KIT-BRD-CIT-054,2,2 year warranty,Ships in 3-5 business days,In Stock,60 days return policy,38,juicers,17.16,26.8,16.29,Highly recommended!
55,Egg Slicer,kitchen-accessories,6.99,14.76,3,40,Unknown,KIT-BRD-SLI-055,2,1 week warranty,Ships in 1 month,In Stock,No return policy,32,slicers,10.81,19.15,13.18,Very dissatisfied!
56,Electric Stove,kitchen-accessories,49.99,14.04,1,21,Unknown,KIT-BRD-ELE-056,5,2 year warranty,Ships in 1 week,In Stock,7 days return policy,8,cooktops,24.17,22.55,27.49,Would not recommend!
57,Fine Mesh Strainer,kitchen-accessories,9.99,3.5,5,85,Unknown,KIT-BRD-FIN-057,9,1 month warranty,Ships overnight,In Stock,7 days return policy,43,strainers,18.02,13.23,15.92,Very pleased!
58,Fork,kitchen-accessories,3.99,8.07,5,7,Unknown,KIT-BRD-FOR-058,9,No warranty,Ships in 1 month,In Stock,No return policy,36,utensils,12.3,25.91,22.57,Highly impressed!
59,Glass,kitchen-accessories,4.99,7.92,5,46,Unknown,KIT-BRD-GLA-059,10,3 year warranty,Ships overnight,In Stock,7 days return policy,17,glasses,20.23,24.56,26.97,Very happy with my purchase!
60,Grater Black,kitchen-accessories,10.99,3.56,1,84,Unknown,KIT-BRD-GRA-060,3,1 month warranty,Ships in 1 week,In Stock,60 days return policy,5,graters,6.32,23.11,24.64,Would not buy again!
61,Hand Blender,kitchen-accessories,34.99,17.02,5,84,Unknown,KIT-BRD-HAN-061,5,1 year warranty,Ships in 1 week,In Stock,No return policy,11,blenders,27.31,21.0,24.27,Excellent quality!
62,Ice Cube Tray,kitchen-accessories,5.99,0.63,5,13,Unknown,KIT-BRD-CUB-062,3,1 month warranty,Ships overnight,In Stock,No return policy,16,ice cube trays,26.67,18.14,5.31,Awesome product!
63,Kitchen Sieve,kitchen-accessories,7.99,18.91,5,68,Unknown,KIT-BRD-KIT-063,5,1 month warranty,Ships overnight,In Stock,No return policy,5,strainers,20.68,6.5,7.86,Highly recommended!
64,Knife,kitchen-accessories,14.99,18.86,2,7,Unknown,KIT-BRD-KNI-064,3,1 month warranty,Ships in 1 week,Low Stock,7 days return policy,50,cutlery,25.19,18.52,20.5,Very disappointed!
65,Lunch Box,kitchen-accessories,12.99,10.34,5,94,Unknown,KIT-BRD-LUN-065,9,5 year warranty,Ships in 1-2 business days,In Stock,30 days return policy,39,storage,12.45,19.08,8.24,Very pleased!
66,Microwave Oven,kitchen-accessories,89.99,12.13,3,59,Unknown,KIT-BRD-MIC-066,9,1 year warranty,Ships in 1 week,In Stock,7 days return policy,4,microwaves,16.31,27.45,13.05,Very dissatisfied!
67,Mug Tree Stand,kitchen-accessories,15.99,9.25,1,88,Unknown,KIT-BRD-TRE-067,3,1 year warranty,Ships in 1 month,In Stock,30 days return policy,45,organization,18.99,27.14,27.29,Very unhappy with my purchase!
68,Pan,kitchen-accessories,24.99,3.0,5,90,Unknown,KIT-BRD-PRD-068,8,1 year warranty,Ships in 3-5 business days,In Stock,30 days return policy,17,pans,17.14,21.7,25.75,Highly impressed!
69,Plate,kitchen-accessories,3.99,7.31,3,66,Unknown,KIT-BRD-PLA-069,4,1 year warranty,Ships in 1-2 business days,In Stock,90 days return policy,6,plates,16.46,5.39,13.15,Disappointing product!
70,Red Tongs,kitchen-accessories,6.99,14.52,4,82,Unknown,KIT-BRD-TON-070,7,No warranty,Ships in 1 week,In Stock,30 days return policy,23,tongs,22.86,26.2,17.0,Very satisfied!
71,Silver Pot With Glass Cap,kitchen-accessories,39.99,5.7,4,40,Unknown,KIT-BRD-SIL-071,7,1 year warranty,Ships in 1 month,In Stock,90 days return policy,10,pots,21.03,11.7,6.69,Great product!
72,Slotted Turner,kitchen-accessories,8.99,13.35,1,88,Unknown,KIT-BRD-SLO-072,8,Lifetime warranty,Ships in 1-2 business days,In Stock,7 days return policy,34,turners,14.41,27.15,14.76,Would not recommend!
73,Spice Rack,kitchen-accessories,19.99,12.09,5,79,Unknown,KIT-BRD-SPI-073,7,1 week warranty,Ships overnight,In Stock,7 days return policy,18,organization,28.06,22.43,26.34,Very satisfied!
74,Spoon,kitchen-accessories,4.99,1.53,3,59,Unknown,KIT-BRD-SPO-074,6,1 year warranty,Ships in 1-2 business days,In Stock,90 days return policy,15,utensils,8.49,26.04,27.78,Waste of money!
75,Tray,kitchen-accessories,16.99,7.48,5,71,Unknown,KIT-BRD-TRA-075,10,5 year warranty,Ships in 2 weeks,In Stock,7 days return policy,23,trays,12.7,7.52,9.72,Fast shipping!
76,Wooden Rolling Pin,kitchen-accessories,11.99,9.75,2,80,Unknown,KIT-BRD-WOO-076,7,3 year warranty,Ships in 2 weeks,In Stock,30 days return policy,11,baking,5.92,10.87,19.55,Would not recommend!
77,Yellow Peeler,kitchen-accessories,5.99,12.48,1,35,Unknown,KIT-BRD-YEL-077,7,1 month warranty,Ships in 3-5 business days,In Stock,90 days return policy,6,peelers,9.7,6.43,17.93,Very unhappy with my purchase!
